[04/03/26, 7:41:21 AM] Amritash Vidya School Friends: Happpppyyyy....hooooliiiii Bhai...may god bless you with lot of sucess in ur life and happyness ✨✨🔥🔥may you rise like a coconut tress ....and start showering lots of succes like a colors 🔥🔥🔥✨🙏🏻🙏🏻💙💙❤️💙❤️💙❤️
‎[04/03/26, 3:09:31 PM] Hariom: ‎audio omitted
[06/03/26, 5:30:19 PM] Amritash Vidya School Friends: bhai call kiya thaa
[06/03/26, 5:49:49 PM] Hariom: Ha bhai
[06/03/26, 5:49:54 PM] Hariom: Idhar he aaya tha .ai
[06/03/26, 5:49:56 PM] Hariom: Mai
[06/03/26, 5:50:12 PM] Amritash Vidya School Friends: mere yhaa
[06/03/26, 5:50:47 PM] Amritash Vidya School Friends: schl walo ke sAth hai kya
[06/03/26, 5:50:51 PM] Amritash Vidya School Friends: suraj wghera
[06/03/26, 5:53:09 PM] Hariom: Kundan hai
[06/03/26, 5:53:15 PM] Hariom: Aab wapas jaa raha hu
[06/03/26, 5:53:20 PM] Hariom: Sikandar pur hu
[06/03/26, 5:54:02 PM] Amritash Vidya School Friends: chl thik hai
[06/03/26, 5:54:05 PM] Amritash Vidya School Friends: fir bye
[06/03/26, 5:54:24 PM] Hariom: Haa thik hai
‎[08/03/26, 7:13:41 PM] Hariom: ‎image omitted
[08/03/26, 7:15:20 PM] Amritash Vidya School Friends: kya hai bhai
[08/03/26, 7:18:04 PM] Hariom: galti se bhej diya bhai
[08/03/26, 7:28:41 PM] Amritash Vidya School Friends: hack kr rha hai lya
[11/03/26, 9:19:58 AM] Amritash Vidya School Friends: bhai aaj shaam ko tere se baat krna thaa..
[11/03/26, 9:20:10 AM] Amritash Vidya School Friends: yaar confidence ki bhut kmi ho rhi hai aajkl ptaa nhi kyo
[11/03/26, 9:34:53 AM] Hariom: Haa mijhe bhi
[11/03/26, 9:35:08 AM] Hariom: Call ker lena
[24/03/26, 12:23:20 AM] Amritash Vidya School Friends: Push yourself very hard...you acn do it brother..you glory will speak as loud as your trollers voice
[24/03/26, 12:23:20 AM] Amritash Vidya School Friends: you are yet to define you self one of the greatest persron in your family 🔥🔥🔥❤️
[24/03/26, 12:23:21 AM] Amritash Vidya School Friends: keep grinding keeep
[24/03/26, 12:32:36 AM] Hariom: Thankyou bhai isai ke to jaturat the aaj
[24/03/26, 12:33:02 AM] Hariom: Bute hal ho rahe hai dimag kharab tha low energy the aaj to laha khatam he hu
[24/03/26, 12:33:12 AM] Hariom: Pe ye baat bhai love u such mai
[24/03/26, 12:33:21 AM] Hariom: Thanks
[24/03/26, 12:33:34 AM] Hariom: Baat kerte raha ker bhai
[24/03/26, 12:35:13 AM] Amritash Vidya School Friends: ekk cheeez rehh gya
[24/03/26, 12:35:33 AM] Amritash Vidya School Friends: bhai🔥🔥🔥🔥🔥❤️❤️❤️haiiii.....tu ‎<This message was edited>
[24/03/26, 12:37:41 AM] Amritash Vidya School Friends: areeyyy calll krlena shaaam ko fireeee hai tu🔥🔥🔥❤️
[24/03/26, 12:43:00 AM] Hariom: Haa kerta hu
[25/03/26, 12:23:58 AM] Amritash Vidya School Friends: hii bhai
[25/03/26, 12:24:04 AM] Amritash Vidya School Friends: kaisa hai
[25/03/26, 4:31:20 AM] Hariom: badhiya bhai tu bata so raha tah , timetable change ker liya
[25/03/26, 7:02:12 AM] Amritash Vidya School Friends: hmm change krliyq ab vapis aagya
[25/03/26, 7:02:33 AM] Amritash Vidya School Friends: 4 bje soya hu 5 bje mummy se daay khaya hu
[25/03/26, 7:02:46 AM] Amritash Vidya School Friends: de mtlb ka
[25/03/26, 8:01:45 AM] Amritash Vidya School Friends: https://youtube.com/shorts/UmlzbemCgK0?si=fYZBz8RZKPZ6UPhT
‎[29/03/26, 3:39:03 AM] Amritash Vidya School Friends: Cooking hard 🔥🔥🔥 ‎image omitted
[29/03/26, 3:39:13 AM] Amritash Vidya School Friends: sogyyaaa kyaaa
[29/03/26, 3:39:51 AM] Hariom: Naa bhai
[29/03/26, 3:39:53 AM] Hariom: Bqta
[29/03/26, 3:39:57 AM] Hariom: Jagq he hu
‎[29/03/26, 3:40:06 AM] Hariom: ‎image omitted
[29/03/26, 3:43:36 AM] Amritash Vidya School Friends: khaa hai bhai
[29/03/26, 3:43:45 AM] Amritash Vidya School Friends: konsi company krli join
[29/03/26, 3:44:04 AM] Amritash Vidya School Friends: DAMN bhai
[29/03/26, 3:44:06 AM] Hariom: Naa bhai clg hai
[29/03/26, 3:44:15 AM] Amritash Vidya School Friends: college me kyo hai abhi
[29/03/26, 3:44:24 AM] Hariom: Hqckathin
